seed,family,noise,w_u,w_g,w_d,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy,method
10,local_defect,0.003,0.4,0.2,0.4,0.006512583675205525,0.0032222808318252334,0.9856,0.3333333333333333,14,7,2,602,0.0336,0.6666666666666666,0.875,0.0033112582781456954,0.8316777041942605,evidence_tuned_frozen
10,local_defect,0.008,0.4,0.2,0.4,0.009421344919332648,0.006351138284893707,0.9632,0.3333333333333333,14,7,16,588,0.0336,0.6666666666666666,0.4666666666666667,0.026490066225165563,0.8200883002207505,evidence_tuned_frozen
10,mixed,0.003,0.4,0.2,0.4,0.006307903221596436,0.004759608957442363,0.9856,0.11538461538461539,23,3,6,593,0.0416,0.8846153846153846,0.7931034482758621,0.01001669449081803,0.9372993450622833,evidence_tuned_frozen
10,mixed,0.008,0.4,0.2,0.4,0.008177477816130933,0.00633084044388542,0.9824,0.07692307692307693,24,2,9,590,0.0416,0.9230769230769231,0.7272727272727273,0.015025041736227046,0.954025940670348,evidence_tuned_frozen
11,smooth,0.003,0.4,0.2,0.4,0.003024618303450972,0.0023256305911245768,0.9888,0.1,9,1,6,609,0.016,0.9,0.6,0.00975609756097561,0.9451219512195121,evidence_tuned_frozen
11,smooth,0.008,0.4,0.2,0.4,0.006700517952608725,0.005344583630911,0.984,0.6,4,6,4,611,0.016,0.4,0.5,0.0065040650406504065,0.6967479674796748,evidence_tuned_frozen
11,waviness,0.003,0.4,0.2,0.4,0.01215641124605458,0.009003694639194728,0.9616,0.5,21,21,3,580,0.0672,0.5,0.875,0.005145797598627788,0.7474271012006861,evidence_tuned_frozen
11,waviness,0.008,0.4,0.2,0.4,0.011472538749294494,0.008912735235786515,0.9568,0.42857142857142855,24,18,9,574,0.0672,0.5714285714285714,0.7272727272727273,0.015437392795883362,0.7779955893163439,evidence_tuned_frozen
11,local_defect,0.003,0.4,0.2,0.4,0.0035506145138408975,0.0027545203040232513,0.9984,0.0,6,0,1,618,0.0096,1.0,0.8571428571428571,0.0016155088852988692,0.9991922455573505,evidence_tuned_frozen
11,local_defect,0.008,0.4,0.2,0.4,0.006243994541639514,0.0047894531907564965,0.9936,0.6666666666666666,2,4,0,619,0.0096,0.3333333333333333,1.0,0.0,0.6666666666666666,evidence_tuned_frozen
11,mixed,0.003,0.4,0.2,0.4,0.005982904430331217,0.004394564805213874,0.9856,0.11538461538461539,23,3,6,593,0.0416,0.8846153846153846,0.7931034482758621,0.01001669449081803,0.9372993450622833,evidence_tuned_frozen
11,mixed,0.008,0.4,0.2,0.4,0.009216374243150286,0.006980834122770323,0.976,0.19230769230769232,21,5,10,589,0.0416,0.8076923076923077,0.6774193548387096,0.01669449081803005,0.8954989084371388,evidence_tuned_frozen
12,smooth,0.003,0.4,0.2,0.4,0.0033294220183936176,0.002554952820379387,0.9888,0.13636363636363635,19,3,4,599,0.0352,0.8636363636363636,0.8260869565217391,0.006633499170812604,0.9285014322327756,evidence_tuned_frozen
12,smooth,0.008,0.4,0.2,0.4,0.00709749467128038,0.005543457561787317,0.9776,0.22727272727272727,17,5,9,594,0.0352,0.7727272727272727,0.6538461538461539,0.014925373134328358,0.8789009497964722,evidence_tuned_frozen
12,waviness,0.003,0.4,0.2,0.4,0.013061098183333198,0.008937157290253617,0.9488,0.3783783783783784,46,28,4,547,0.1184,0.6216216216216216,0.92,0.007259528130671506,0.807181046745475,evidence_tuned_frozen
