seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
2,mixed,0.008,evidence_gated,0.1,0.007875466179304604,0.00614398842169831,0.9792,0.38461538461538464,8,5,8,604,0.0208,0.6153846153846154,0.5,0.013071895424836602,0.8011563599798894
3,smooth,0.003,uncertainty_only,0.1,0.0027594063320534445,0.0022331920430926043,0.992,0.1111111111111111,8,1,4,612,0.0144,0.8888888888888888,0.6666666666666666,0.006493506493506494,0.9411976911976911
3,smooth,0.003,two_sided_straddle,0.1,0.002711750693477168,0.0022273390846294836,0.992,0.3333333333333333,6,3,2,614,0.0144,0.6666666666666666,0.75,0.003246753246753247,0.8317099567099566
3,smooth,0.003,evidence_gated,0.1,0.003255672609054464,0.002579673056147055,0.9856,0.1111111111111111,8,1,8,608,0.0144,0.8888888888888888,0.5,0.012987012987012988,0.9379509379509379
3,smooth,0.008,uncertainty_only,0.1,0.005932611921323203,0.004673278879707419,0.976,0.3333333333333333,6,3,12,604,0.0144,0.6666666666666666,0.3333333333333333,0.01948051948051948,0.8235930735930737
3,smooth,0.008,two_sided_straddle,0.1,0.005808293610264142,0.0044250805093184594,0.9744,0.3333333333333333,6,3,13,603,0.0144,0.6666666666666666,0.3157894736842105,0.021103896103896104,0.8227813852813852
3,smooth,0.008,evidence_gated,0.1,0.005798295189916306,0.004686080206642537,0.9904,0.2222222222222222,7,2,4,612,0.0144,0.7777777777777778,0.6363636363636364,0.006493506493506494,0.8856421356421357
3,waviness,0.003,uncertainty_only,0.1,0.00817492456877947,0.006118950747795164,0.9424,0.7346938775510204,13,36,0,576,0.0784,0.2653061224489796,1.0,0.0,0.6326530612244898
3,waviness,0.003,two_sided_straddle,0.1,0.010809744998245304,0.007835274385324793,0.9584,0.4489795918367347,27,22,4,572,0.0784,0.5510204081632653,0.8709677419354839,0.006944444444444444,0.7720379818594104
3,waviness,0.003,evidence_gated,0.1,0.011246302686207642,0.008307637891295636,0.9568,0.4489795918367347,27,22,5,571,0.0784,0.5510204081632653,0.84375,0.008680555555555556,0.7711699263038548
3,waviness,0.008,uncertainty_only,0.1,0.00924597729014993,0.007407625358448817,0.9376,0.6530612244897959,17,32,7,569,0.0784,0.3469387755102041,0.7083333333333334,0.012152777777777778,0.6673929988662132
